Location	Name	Citation	Type	Date_BP	Date_error	RSL	RSL_error	RSL_min	RSL_min_error	RSL_max	RSL_max_error	ID
Taninim	Watermill	(Vunsh 2014)	Watermill	80	30					65	14	1
Taninim	Watermill	(Vunsh 2014)	Watermill	80	30					67	14	2
Taninim	Watermill	(Vunsh 2014)	Watermill	80	30					65	14	3
Taninim	Watermill	(Vunsh 2014)	Watermill	80	30					64	14	4
Atlit	AT3-19	(Sisma-Ventura et al. 2014)	Vermetid Core	121	120	-19	21					5
Dor	HD3-10	(Sisma-Ventura et al. 2014)	Vermetid Core	122	117	-10	21					6
Shiqmona	SQ2-15	(Sisma-Ventura et al. 2014)	Vermetid Core	145	105	-15	21					7
Dor	Dendropoma Petraeum	(Sivan et al. 2010)	Vermetid Core	175	125	-7	22					8
Shiqmona	SQ2-21	(Sisma-Ventura et al. 2014)	Vermetid Core	177	124	-21	21					9
Achziv	Dendropoma Petraeum	(Sivan et al. 2010)	Vermetid Core	180	120	-3	22					10
Habonim  	Dendropoma Petraeum	(Sivan et al. 2010)	Vermetid Core	180	120	-9	22					11
Jaffa	Well	(Toker et al. 2012)	Well	242	50	-48	5					12
Dor	HD3-21	(Sisma-Ventura et al. 2014)	Vermetid Core	270	149	-21	21					13
Taninim	Watermill	(Vunsh 2014)	Watermill	275	150					-5	14	14
Taninim	Watermill	(Vunsh 2014)	Watermill	275	150					-9	14	15
Atlit	AT3-37	(Sisma-Ventura et al. 2014)	Vermetid Core	342	112	-37	21					16
Dor	HD6-35	(Sisma-Ventura et al. 2014)	Vermetid Core	353	97	-35	21					17
Dor	HD3-28	(Sisma-Ventura et al. 2014)	Vermetid Core	378	94	-28	21					18
Dor	HD3-33	(Sisma-Ventura et al. 2014)	Vermetid Core	386	97	-33	21					19
Dor	HD3-39	(Sisma-Ventura et al. 2014)	Vermetid Core	420	98	-39	21					20
Achziv	Dendropoma Petraeum	(Sivan et al. 2010)	Vermetid Core	425	95	-6	22					21
Dor	HD3-47	(Sisma-Ventura et al. 2014)	Vermetid Core	581	74	-47	21					22
Shiqmona	SQ2-31	(Sisma-Ventura et al. 2014)	Vermetid Core	596	84	-31	21					23
Shiqmona	5Q4-3	(Sisma-Ventura et al. 2014)	Vermetid Core	608	83	-3	21					24
Haazrot Yaasaf	HY1-17.5	(Sisma-Ventura et al. 2014)	Vermetid Core	657	99	-18	21					25
Shiqmona	SQ2-37	(Sisma-Ventura et al. 2014)	Vermetid Core	680	90	-37	21					26
Shiqmona	SQ-45	(Sisma-Ventura et al. 2014)	Vermetid Core	690	95	-45	21					27
Atlit	 drainage pipe	(Toker et al. 2012)	Channel	696	36	-10	20					28
Atlit	Pavement at   NE tower	(Toker et al. 2012)	Structure Base	696	36	-21	20					29
Atlit	Pavement at  NE wall trench	(Toker et al. 2012)	Structure Base	696	36	-46	20					30
Akko	"fortification NW, by  round tower base OR"	(Toker et al. 2012)	Structure Base	708	50	-18	20					31
Akko	Round tower foundation channel	(Toker et al. 2012)	Channel	708	50	-9	20					32
Akko	Templar underground tunnel	(Toker et al. 2012)	Structure Base	752	93					-79	15	33
Atlit	Dendropoma Petraeum	(Sivan et al. 2010)	Vermetid Core	755	105	-22	22					34
Shiqmona	SQ4-11.5	(Sisma-Ventura et al. 2014)	Vermetid Core	761	107	-12	21					35
Caesarea	Beach rock in  trench	Yankelivch P.C.	Beachrock	767	82	-48	18					36
Caesarea	Well	(Sivan et al. 2004)	Well	817.5	132.5	-56	16					37
Caesarea	Well	(Sivan et al. 2004)	Well	817.5	132.5	-36	16					38
Caesarea	Well	(Sivan et al. 2004)	Well	817.5	132.5	-30	16					39
Akko	Foundations of  Templar Palace	(Toker et al. 2012)	Structure Base	820	5	-71	22					40
Akko	Sewage channel Outlet	(Toker et al. 2012)	Channel	820	5	-34	10					41
Haazrot Yaasaf	HY1-33.5	(Sisma-Ventura et al. 2014)	Vermetid Core	839	109	-34	21					42
Caesarea	Well	(Sivan et al. 2004)	Well	970	20	51	16					43
Shiqmona	SQ4-22	(Sisma-Ventura et al. 2014)	Vermetid Core	994	119	-22	21					44
Shiqmona	Dendropoma Petraeum	(Sivan et al. 2010)	Vermetid Core	1040	120	-12	22					45
Caesarea	Well	(Sivan et al. 2004)	Well	1095	105	-9	16					46
Caesarea	Well	(Sivan et al. 2004)	Well	1095	105	-18	16					47
Caesarea	Well	(Sivan et al. 2004)	Well	1095	105	-8	16					48
Caesarea	Well	(Sivan et al. 2004)	Well	1095	105	-3	16					49
Caesarea	Well	(Sivan et al. 2004)	Well	1095	105	-10	16					50
Caesarea	Well	(Sivan et al. 2004)	Well	1095	105	-8	16					51
Caesarea	Well	(Sivan et al. 2004)	Well	1095	105	-12	16					52
Caesarea	Well	(Sivan et al. 2004)	Well	1095	105	0	16					53
Caesarea	Well	(Sivan et al. 2004)	Well	1095	105	-12	16					54
Caesarea	Well	(Sivan et al. 2004)	Well	1095	105	8	16					55
Caesarea	Well	(Sivan et al. 2004)	Well	1095	105	-7	16					56
